,Field,Time
0,918999000000,17
1,916750000000,12
2,917765000000,16
3,916747000000,5
4,917311000000,3
5,917881000000,3
6,917866000000,7
7,918519000000,4
8,918837000000,3
9,917837000000,8
10,918243000000,3
11,919597000000,8
12,911152000000,4
13,918921000000,2
14,916722000000,5
15,918734000000,3
16,917705000000,2
17,917704000000,3
18,918791000000,7
19,917320000000,5
20,918908000000,2
21,918931000000,3
22,918916000000,3
23,918835000000,4
24,917317000000,2
25,918960000000,4
26,916128000000,3
27,916814000000,4
28,916749000000,5
29,917707000000,3
30,918713000000,3
31,916726000000,5
32,917442000000,3
33,918912000000,2
34,917802000000,4
35,918782000000,7
36,913420000000,4
37,919845000000,2
38,916741000000,5
39,917803000000,5
40,918911000000,3
41,918057000000,3
42,917482000000,4
43,918740000000,3
44,915523000000,2
45,918930000000,4
46,916478000000,5
47,917882000000,20
48,916585000000,5
49,916518000000,3
50,918932000000,3
51,918940000000,2
52,917448000000,4
53,916748000000,2
54,916743000000,4
55,914726000000,5
56,918915000000,5
57,916824000000,4
58,916852000000,4
59,911703000000,4
60,918844000000,8
61,918079000000,2
62,913818000000,2
63,918970000000,3
64,919309000000,2
65,918061000000,5
66,919647000000,3
67,916634000000,5
68,917495000000,3
69,915524000000,8
70,916740000000,4
71,912720000000,2
72,912714000000,4
73,914896000000,1
74,918838000000,5
75,914728000000,3
76,917825000000,3
77,918816000000,4
78,918716000000,3
79,916859000000,2
80,913374000000,3
81,918777000000,4
82,913359000000,3
83,917706000000,4
84,918850000000,3
85,915528000000,7
86,916807000000,2
87,917524000000,5
88,917718000000,2
89,912717000000,2
90,918913000000,3
91,918935000000,2
92,917980000000,13
93,919576000000,5
94,916847000000,3
95,918368000000,4
96,918842000000,6
97,914863000000,3
98,917587000000,4
99,917318000000,3
100,918917000000,3
101,917886000000,2
