,Field,Time
0,WKTWOXI,2
1,OGORLGP,2
2,CXPZBXE,2
3,ABPMFZE,2
4,WCSQSRV,2
5,YNTHJSM,1
6,JDSALGA,4
7,HUNQFYB,2
8,EHQRBPW,1
9,QJLSQAV,1
10,UWDAHQZ,2
11,AOYKAIW,1
12,MRSWVUH,5
13,RKDAIHR,3
14,UZKHGZC,7
15,ADBSJWQ,2
16,ZBSWIQN,3
17,KABPKVZ,6
18,ZGZNFEU,4
19,LHGQUPQ,5
20,VLJPRKK,2
21,TZLVSAK,3
22,ZLFVJZQ,1
23,FSJJGFK,3
24,RTCGAYC,6
25,VVGTAJZ,2
26,WZPNNAR,2
27,HEFLYFR,4
28,WTUOKGE,1
29,HFBFFBJ,3
30,LNJORZU,6
31,WUDAOQP,5
32,VWAFGST,18
33,SXJWKTF,5
34,JQASIOM,4
35,FFORJNW,1
36,FAWJOMB,1
37,IPIOFCW,1
38,GNOVDTN,2
39,HHEPHCS,1
40,FWKCROT,15
41,QBHMWYH,1
42,AWMHWWE,2
43,CROFCHP,15
44,FPHLWHQ,1
45,UDYVTTC,1
46,KBSPVJH,1
47,XJOKNSW,2
48,USJYXMN,3
49,GTHITTD,36
50,JQGXJMY,1
51,GQKKEFV,14
52,UDOCQMH,3
53,EGIRQDV,1
54,WFGEWHP,1
55,NTUIATR,1
56,OFNMKXO,2
57,OQAHECN,2
58,GSCPBVO,1
59,LNIADJG,2
60,MEOBZUN,2
61,SACXHUH,27
62,THWPGIZ,14
63,YFAZRAH,17
64,YAANUDJ,2
65,LRXLEFI,2
66,GTBCHUQ,48
67,JCWQUIT,2
68,PYTFCXS,24
69,FAKZQKB,13
70,CMXUOAB,3
71,WOAAAER,14
72,EBRPSIP,14
73,SGALVPN,14
74,VRZJGAB,2
75,HAQURSE,29
76,FOXIJNA,2
77,HRFRAXO,1
78,BEJZKRM,3
79,TXPCLQI,14
80,EIHWGFA,12
81,BTUITAL,9
82,BTKDTEM,1
83,VXCUEKR,2
84,KDECXAB,1
85,PDMZKEH,3
86,EDZCRGY,11
87,TTFWVRF,17
88,TXWITUN,3
89,GHYIFQL,2
90,ERZFPUB,2
91,QIAAFGQ,2
92,JBOESSQ,3
93,AZSAJMZ,2
94,LFPHFUU,2
95,XRJJCPS,1
96,BXQNZQA,3
97,XHDBKLX,3
98,VIZCUFP,2
99,PKFNZRT,3
