,Field,Time
0,2022628360,1
1,2482381319,11
2,5811800057,1
3,1627006594,12
4,6608736934,4
5,8157697699,2
6,3885099459,6
7,1143919074,2
8,5458568557,11
9,5161557970,2
10,6676186965,2
11,1568817662,2
12,3934865875,16
13,7530269833,2
14,2262851210,1
15,2383238651,4
16,5278650966,1
17,8295257987,4
18,4742464654,2
19,5812876536,2
20,6603090961,2
21,2532505844,2
22,7119692062,2
23,5408724561,1
24,6746860463,1
25,3243302927,3
26,5144079968,1
27,6806448253,1
28,5877131551,2
29,5318442503,2
30,6234546890,15
31,8106806895,1
32,4567333686,2
33,1132129121,1
34,2971276263,1
35,3449737501,3
36,4675068355,2
37,8272345362,5
38,7445284660,4
39,1415331971,1
40,1599451376,3
41,7341475818,1
42,4512667377,1
43,6061178798,1
44,8676178900,4
45,6705065257,3
46,8349021003,1
47,1238614953,4
48,7382835063,1
49,8695396291,1
50,7490780869,2
51,3360341307,2
52,3049354559,1
53,4842387913,1
54,2289348969,1
55,1717258161,2
56,5827561970,1
57,1714065008,2
58,3753280268,1
59,2786468593,1
60,3074865094,1
61,8075218152,1
62,8238364380,1
63,5754159835,1
64,6277269546,1
65,1832081638,1
66,7607224583,1
67,8348272186,3
68,8389376470,2
69,7026266117,1
70,6524398426,2
71,6251557273,3
72,8194130266,2
73,8606183124,4
74,5102973367,1
75,3039823886,1
76,4386683026,4
77,6682361812,1
78,8562380726,2
79,5968935673,3
80,1247043183,1
81,4624742997,1
82,3290030878,3
83,6345601129,1
84,6776565326,1
85,5671414409,1
86,2223015346,1
87,8595902675,2
88,4618371550,3
89,8096641940,2
90,6786015045,1
91,7981267724,1
92,5663102872,1
93,6674486357,1
94,5030860011,1
95,6019028605,2
96,7991333046,1
97,5604143741,1
98,5267205989,4
99,2181679953,2
